x,under_y,theta,distance
2,75,-35.912578124999996,15.81697020165685
2,76,-36.079301,15.47393152844898
2,77,-36.249144625,15.143130697213673
2,78,-36.422109,14.824717548695553
2,79,-36.59819412499999,14.518842285281004
2,80,-36.7774,14.2256513538968
2,81,-36.959726625,13.945283378787842
2,82,-37.145174,13.67786514428888
2,83,-37.33374212499999,13.423507627874407
2,84,-37.525431,13.182302083936342
2,85,-37.720240624999995,12.954316178908307
2,86,-37.918170999999994,12.739590178528935
2,87,-38.119222125,12.538133188214085
2,88,-38.32339399999999,12.349919447689665
2,89,-38.530686624999994,12.174884681218138
2,90,-38.7411,12.012922504937585
2,91,-38.954634125,11.863880893027606
2,92,-39.171289,11.727558704606274
2,93,-39.391064625,11.603702273466489
2,94,-39.613961,11.492002062953922
2,95,-39.839978124999995,11.392089388504807
2,96,-40.069116,11.303533210567814
2,97,-40.301374624999994,11.225837000844642
2,98,-40.536753999999995,11.158435685015313
2,99,-40.775254125,11.100692665327635
2,100,-41.01687499999999,11.051896926662714
2,101,-41.261616624999995,11.01126022991854
2,102,-41.509479,10.977914396799171
2,103,-41.760462125,10.95090869033617
2,104,-42.014565999999995,10.929207295705048
2,105,-42.271790624999994,10.91168690618337
2,106,-42.532135999999994,10.897134419317346
2,107,-42.795602125,10.884244748660414
2,108,-43.062189,10.87161875669812
2,109,-43.331896625,10.857761314854876
2,110,-43.604725,10.841079496766715
2,111,-43.880674125,10.819880911266855
2,112,-44.159744,10.79237218186494
2,113,-44.441934624999995,10.756657579757068
2,114,-44.727246,10.710737817743158
2,115,-45.015678125,10.652509012719058
2,116,-45.307230999999994,10.579761824744075
2,117,-45.601904625,10.490180781003566
2,118,-45.899699,10.381343793311991
2,119,-46.200614124999994,10.25072187817522
2,120,-46.50465,10.095679088717809
2,121,-46.811806625,9.91347266820616
3,18,-31.135536,78.01989234883985
3,19,-31.124529000000003,74.8819029356153
3,20,-31.1166,71.91236616851893
3,21,-31.111748999999993,69.10229888639248
3,22,-31.109976,66.44309459756454
3,23,-31.111281,63.92651253817751
3,24,-31.115664,61.54466697799534
3,25,-31.123125,59.29001676726789
3,26,-31.133664,57.15535511832382
3,27,-31.147281,55.13379961566741
3,28,-31.163976,53.21878244844515
3,29,-31.183749,51.404040859251715
3,30,-31.2066,49.683607803337445
3,31,-31.232529,48.05180281238153
3,32,-31.261536000000007,46.50322305708601
3,33,-31.293620999999995,45.03273460294803
3,34,-31.328784,43.63546385366384
3,35,-31.367025,42.30678917670871
3,36,-31.408344000000003,41.042332705745984
3,37,-31.452740999999996,39.83795231460294
3,38,-31.500216,38.689733757656136
3,39,-31.550769,37.59398297156428
3,40,-31.604399999999995,36.54721853338338
3,41,-31.661109,35.54616427019726
3,42,-31.720896000000003,34.58774201549539
3,43,-31.783761000000005,33.66906450762661
3,44,-31.849704,32.78742842575894
3,45,-31.918725,31.94030755887095
3,46,-31.990824000000003,31.1253461034048
3,47,-32.066001,30.340352085306215
3,48,-32.144256,29.583290902280787
3,49,-32.225589,28.852278982197724
3,50,-32.31,28.145577553669337
3,51,-32.397489,27.461586524945425
3,52,-32.488056,26.798838467356
3,53,-32.581701,26.155992699648515
3,54,-32.678424,25.53182946966404
3,55,-32.778225,24.925244229907115
3,56,-32.881104,24.33524200367008
3,57,-32.987061000000004,23.76093183847876
3,58,-33.096096,23.201521343737845
3,59,-33.208209000000004,22.656311309563527
3,60,-33.3234,22.12469040390105
3,61,-33.441669,21.60612994513972
3,62,-33.563016,21.100178747549556
3,63,-33.687441,20.606458036980023
3,64,-33.814944,20.124656434377357
3,65,-33.945525,19.654525004796035
3,66,-34.079184,19.195872369696147
3,67,-34.215921,18.748559880445633
3,68,-34.355736,18.31249685106163
3,69,-34.498629,17.887635848355263
3,70,-34.644600000000004,17.473968037768238
3,71,-34.793649,17.071518583317463
3,72,-34.945776,16.680342100193023
3,73,-35.100981,16.30051815869117
3,74,-35.259264,15.93214683828949
3,75,-35.420624999999994,15.57534433081772
3,76,-35.585064,15.2302385918073
3,77,-35.752581,14.896965039246332
3,78,-35.923176,14.575662299112814
3,79,-36.096849,14.266467997198838
3,80,-36.2736,13.96951459688608
3,81,-36.453429,13.684925282691545
3,82,-36.636336,13.4128098895411
3,83,-36.822320999999995,13.153260877900614
