under_y,theta,distance
117,-46.851271875,9.410862
118,-47.157225,9.316958
119,-47.466384375,9.225759
120,-47.77875,9.137259
121,-48.094321875,9.05147
0,-32.745,128.10524
1,-32.676744250000006,123.98301
2,-32.61165199999999,119.86742
3,-32.54972324999999,115.758514
4,-32.490958,111.70761
5,-32.43535625,107.70686
6,-32.382918,103.79255
7,-32.33364325,100.13367
8,-32.287532,96.265
9,-32.24458425,92.44968
10,-32.2048,88.49098
11,-32.16817925,87.00674
12,-32.134722000000004,85.62448
13,-32.10442825,84.2439
14,-32.077298,82.83812
15,-32.05333125,81.41034
16,-32.032528,79.96707
17,-32.014888250000006,78.51749
18,-32.000412,76.59586
19,-31.98909925,73.8258
20,-31.98095,69.64177
21,-31.975964249999997,66.03575
22,-31.974142,63.07892
23,-31.97548325,60.77721
24,-31.979988,58.90327
25,-31.98765625,57.15554
26,-31.998488,55.77934
27,-32.012483249999995,54.414795
28,-32.029642,53.026398
29,-32.04996425,51.638737
30,-32.07345,50.24017
31,-32.10009925,48.78283
32,-32.129912000000004,47.3049
33,-32.162888249999995,45.97531
34,-32.199028,44.688522
35,-32.23833125,43.447624
36,-32.280798000000004,42.47503
37,-32.32642825,41.562744
38,-32.375222,40.6335
39,-32.42717925,39.74478
40,-32.482299999999995,38.846607
41,-32.54058425,37.92802
42,-32.602032,36.973114
43,-32.66664325000001,36.039524
44,-32.734418,35.075882
45,-32.80535625,34.10482
46,-32.87945800000001,33.20866
47,-32.95672325,32.38011
48,-33.037152,31.55322
49,-33.12074425,30.700542
50,-33.2075,29.82311
51,-33.29741925,28.96345
52,-33.390502,28.12169
53,-33.48674825,27.284225
54,-33.586158,26.509682
55,-33.68873125,25.803228
56,-33.794468,25.125353
57,-33.90336825,24.484756
58,-34.015432000000004,24.015535
59,-34.13065925,23.576057
60,-34.24905,23.12263
61,-34.37060425,22.664333
62,-34.495322,22.219774
63,-34.62320325,21.821552
64,-34.754248,21.453741
65,-34.888456250000004,21.060347
66,-35.025828,20.644535
67,-35.16636325,20.217173
68,-35.310062,19.79598
69,-35.45692425,19.380894
70,-35.606950000000005,18.968058
71,-35.76013925,18.557486
72,-35.916492000000005,18.155827
73,-36.07600825,17.778612
74,-36.238688,17.43004
75,-36.40453125,17.081528
76,-36.573538000000006,16.709742
77,-36.74570825,16.321306
78,-36.921042,15.959011
79,-37.09953925,15.599112
80,-37.281200000000005,15.246768
81,-37.46602425,14.899279
82,-37.654012,14.605679
83,-37.84516325,14.315174
84,-38.039478,14.026951
85,-38.23695625,13.75854
86,-38.437598,13.531981
87,-38.64140325,13.315552
88,-38.848372,13.09729
89,-39.05850425,12.889061
90,-39.2718,12.69994
91,-39.488259250000006,12.51454
92,-39.707882000000005,12.331673
93,-39.93066825,12.152281
94,-40.156618,11.983458
95,-40.38573125,11.817149
96,-40.618008,11.65336
97,-40.85344825,11.473846
98,-41.092052,11.297025
99,-41.33381925,11.134936
100,-41.57875,10.976841
101,-41.82684425,10.825174
102,-42.078102,10.68298
103,-42.33252325,10.544801
104,-42.590108,10.409285
105,-42.85085625,10.276438
106,-43.114768,10.146256
107,-43.38184325,10.01874
108,-43.652082,9.89389
109,-43.92548425,9.770785
110,-44.20205,9.647751
111,-44.48177925,9.527405
112,-44.764672,9.410833
113,-45.05072825,9.300148
114,-45.339948,9.192135
115,-45.63233125000001,9.086786
116,-45.927878,8.984106
117,-46.22658825,8.884094
118,-46.528462000000005,8.786746
119,-46.83349925,8.692071
120,-47.1417,8.600063
121,-47.45306425,8.510725
0,-32.302499999999995,127.1704
1,-32.235166625000005,123.05175
2,-32.170953999999995,118.93802
3,-32.10986212499999,114.830894
4,-32.051891,110.765755
5,-31.997040625,106.76628
6,-31.945311,102.901985
7,-31.896702125,99.19862
8,-31.851214,95.33606
9,-31.808846625,91.40029
10,-31.769599999999997,88.18865
11,-31.733474125,86.72617
12,-31.700469,85.34421
13,-31.670584625,83.96426
14,-31.643821,82.580765
15,-31.620178124999995,81.17198
16,-31.599656,79.74419
17,-31.582254625000004,78.29793
18,-31.567974,76.372635
19,-31.556814125,73.47014
20,-31.548775,69.136086
21,-31.543856624999997,65.72245
22,-31.542059,62.760654
23,-31.543382125,60.683144
24,-31.547826,58.809185
25,-31.555390625,57.0699
26,-31.566076,55.66987
27,-31.579882125,54.31371
28,-31.596809,52.92526
29,-31.616856625,51.537533
